Date Range,Clicks,Impressions,CTR,Position
2025-02-17 - 2025-02-22,18,13090,0.14%,41.5
2025-02-23 - 2025-03-01,11,17013,0.06%,41.6
2025-03-02 - 2025-03-08,9,14331,0.06%,39.7
2025-03-09 - 2025-03-15,22,13990,0.16%,37.8
2025-03-16 - 2025-03-22,6,16882,0.04%,42.4
2025-03-23 - 2025-03-29,10,16211,0.06%,42.1
2025-03-30 - 2025-04-05,24,30075,0.08%,55.5
2025-04-06 - 2025-04-12,17,12923,0.13%,30.7
2025-04-13 - 2025-04-19,14,12095,0.12%,30.3
2025-04-20 - 2025-04-26,11,12699,0.09%,28.4
2025-04-27 - 2025-05-03,17,15661,0.11%,29.7
2025-05-04 - 2025-05-10,18,17771,0.1%,30.9
2025-05-11 - 2025-05-17,22,17168,0.13%,28.6
2025-05-18 - 2025-05-24,7,24071,0.03%,30.8
2025-05-25 - 2025-05-31,13,20033,0.06%,29.8
2025-06-01 - 2025-06-07,17,20259,0.08%,27.1
2025-06-08 - 2025-06-14,15,18621,0.08%,27
2025-06-15 - 2025-06-21,11,19022,0.06%,26.7
2025-06-22 - 2025-06-28,9,20347,0.04%,27
2025-06-29 - 2025-07-05,15,23374,0.06%,29.2
2025-07-06 - 2025-07-12,17,26135,0.07%,28.2
2025-07-13 - 2025-07-19,22,27431,0.08%,27.5
2025-07-20 - 2025-07-26,16,26085,0.06%,29.5
2025-07-27 - 2025-08-02,13,21137,0.06%,28.6
2025-08-03 - 2025-08-09,8,22850,0.04%,30.4
2025-08-10 - 2025-08-16,14,17272,0.08%,27.2
2025-08-17 - 2025-08-23,16,19671,0.08%,26.8
2025-08-24 - 2025-08-30,10,21256,0.05%,29.9
2025-08-31 - 2025-09-06,7,23146,0.03%,32.1
2025-09-07 - 2025-09-13,10,18594,0.05%,28.3
2025-09-14 - 2025-09-20,19,9807,0.19%,19.8
2025-09-21 - 2025-09-27,19,9211,0.21%,19.8
2025-09-28 - 2025-10-04,13,11141,0.12%,22
2025-10-05 - 2025-10-11,7,9998,0.07%,21.1
2025-10-12 - 2025-10-18,4,10328,0.04%,21.6
2025-10-19 - 2025-10-25,3,9458,0.03%,21.3
2025-10-26 - 2025-11-01,9,10498,0.09%,21.6
2025-11-02 - 2025-11-08,7,10488,0.07%,21.4
2025-11-09 - 2025-11-15,9,10093,0.09%,21.1
2025-11-16 - 2025-11-22,7,11116,0.06%,22.2
2025-11-23 - 2025-11-29,12,10706,0.11%,22.5
2025-11-30 - 2025-12-06,8,12009,0.07%,19.9
2025-12-07 - 2025-12-13,9,11735,0.08%,21.2
2025-12-14 - 2025-12-20,6,12419,0.05%,21.8
2025-12-21 - 2025-12-27,1,10971,0.01%,21.6
2025-12-28 - 2026-01-03,3,11781,0.03%,20.3
2026-01-04 - 2026-01-10,12,11165,0.11%,21.8
2026-01-11 - 2026-01-17,10,10277,0.1%,22
2026-01-18 - 2026-01-24,7,9916,0.07%,21.9
2026-01-25 - 2026-01-31,10,11072,0.09%,22.3
2026-02-01 - 2026-02-07,16,11515,0.14%,21.5
2026-02-08 - 2026-02-14,10,11231,0.09%,22
2026-02-15 - 2026-02-16,9,2943,0.31%,20.6